product_id,brand,description,mrp,category_id,size,unit
10001,Britannia,Britannia Little Hearts,20,A0701,75,g
10002,Parle,Parle Bakesmith Marie Biscuits,30,A0701,250,g
10003,Parle,Monaco Classic,10,A0701,66.7,g
10004,Oreo,Oreo Cadbury Dipped,20,A0701,50,g
10005,Cadbury,BournVita Biscuits,10,A0701,46.5,g
10006,Cadbury,"Oreo Creme Biscuit - Vanilla, Original",30,A0701,120,g
10007,Cadbury,Oreo Creme Biscuit - Choco creme,30,A0701,120,g
10008,Cadbury,Oreo Creme Biscuit - Strawberry creme,30,A0701,120,g
10009,Cadbury,Oreo Creme Biscuit - Strawberry creme,10,A0701,50,g
10010,Cadbury,"Oreo Creme Biscuit - Vanilla, Original",10,A0701,50,g
10011,Boomer,Boomer Chewing Gum,230,A0703,1,Jar
10012,Pim Pom,Wriggley's Pim Pom Lollypop,300,A0703,1,Jar
10013,Parle,Parle Milano Center Filled Choco Chip,30,A0701,75,g
10014,Parle,Parle Milano Center Filled Mixed berries,35,A0701,75,g
10015,Parle,Hide & Seek choco Rolls,30,A0701,75,g
10016,Parle,Hide & Seek black bourbon,30,A0701,100,g
10017,Parle,Parle Platina - Nutricrunch Lite Cracker,15,A0701,100,g
10018,Parle,Parle Platina- Nutricrunch Lite Cracker,30,A0701,200,g
10019,Parle,Krackjack,10,A0701,66.7,g
10020,Parle,20-20 Gold Butter Cookies,10,A0701,75,g
10021,Parle,20-20 Cashew Cookies,5,A0701,40,g
10022,Parle,20-20 butter Cookies,5,A0701,40,g
10023,Parle,Parle- G,10,A0701,130,g
10024,Unibic,Unibic Cookies - Choco Kiss,40,A0701,75,g
10025,Unibic,Unibic Cookies - Butter (Sugar Free),40,A0701,75,g
10026,Unibic,Unibic Cookies - Cashew (Sugar Free),40,A0701,75,g
10027,Unibic,Unibic Cookies - Fruit & Nut,25,A0701,75,g
10028,Unibic,Unibic Cookies - Oatmeal Digestive B1G1,50,A0701,150+150,g
10029,Unibic,Unibic Cookies - Choco Nut,25,A0701,75,g
10030,Unibic,Unibic Cookies - Choco Ripple B1G1,38,A0701,100+100,g
10031,Unibic,Unibic Cookies - Milk B1G1,38,A0701,100+100,g
10032,Unibic,Unibic Cookies - Orange Milk B1G1,38,A0701,100+100,g
10033,Unibic,Unibic Cookies - Doosra Jeera,15,A0701,75,g
10034,McVities,Mcvities Digestive,50,A0701,250,g
10035,McVities,Mcvities Cookies - Fruit,40,A0701,120,g
10036,McVities,Mcvities Marie Bisucits - Whole wheat,35,A0701,200,g
10037,McVities,Mcvities Digestive Biscuits,20,A0701,100,g
10038,Britannia,Good Day - Pista Badam Cookies,10,A0701,60,g
10039,Britannia,Britannia Tiger Biscuits - Glucose,10,A0701,136,g
10040,Britannia,Britannia Bourbon - Chocolate,20,A0701,120,g
10041,Britannia,Good Day - Butter Cookies,15,A0701,100,g
10042,Britannia,Good Day - Pista Badam Cookies,40,A0701,200,g
10043,Britannia,Nice Time - Sugar Showered Coconut Biscuits,10,A0701,73,g
10044,Britannia,Good Day - Choco Almond Cookies,30,A0701,100,g
10045,Britannia,Good Day - Cashew,40,A0701,200,g
10046,Britannia,Britannia 50 50 - Sweet & Salty,5,A0701,38,g
10047,Britannia,Britannia 50 50 Jeera,5,A0701,50,g
10048,ITC,Sunfeast Dark Fantasy - Choco Fills,30,A0701,75,g
10049,Cadbury,Cadbury Dairy Milk Silk - Heart Pop,300,A0703,250,g
10050,ITC,Sunfeast Mom's Magic - Chocolate Chip,30,A0701,60,g
10051,ITC,Sunfeast Mom's Magic - Nuts & Raisins,30,A0701,60,g
10052,ITC,Sunfeast Bounce - Tangy Orange,5,A0701,41,g
10053,ITC,Sunfeast Bounce - Elaichi Delight,5,A0701,41,g
10054,ITC,Sunfeast Farmlite - Oats Almonds,50,A0701,150,g
10055,ITC,Sunfeast Farmlite Active Oats Raisins,25,A0701,75,g
10056,ITC,Sunfeast Mom's Magic - Cashew & Almond,40,A0701,200,g
10057,Britannia,Britannia 50-50 Maska Chaska,10,A0701,50,g
10058,Britannia,Britannia 50-50 Maska Chaska,30,A0701,120,g
10059,Parle,Hide & Seek - Caffe Mocha,30,A0701,120,g
10060,Parle,Hide & Seek - Chocolate Chip,30,A0701,120,g
10061,Parle,Parle-G Glucose Biscuits,5,A0701,65,g
10062,Gone Mad - crackers,Gery Gone Mad Crackers - Cheese & Sugar,60,A0701,110,g
10063,Gone Mad - crackers,Gery Gone Mad Crackers - Coconut,60,A0701,110,g
10064,Gone Mad - crackers,Gery Gone Mad Crackers - Dark Chocolate,60,A0701,110,g
10065,Britannia,Britannia Biscuits - Marie Gold,15,A0701,120,g
10066,Britannia,Britannia Nutri Choice Essentials -Ragi Cookies,65,A0701,150,g
10067,Britannia,Britannia Nutri Choice Digestive,40,A0701,150+50,g
10068,Britannia,Britannia Good Day Chunkies - Triple Choco,50,A0701,120,g
10069,Mars,Bounty - Coconut & Milk Chocolate Bar (Pack of 3),135,A0703,171,g
10070,Gone Mad - chocolates,Gone mad Stick - Chocolate,5,A0703,12,g
10071,Gone Mad - chocolates,Gone mad Stick - Choco Strawberry,5,A0703,12,g
10072,Gone Mad - chocolates,Gone mad Stick - Cashew Mithai,5,A0703,12,g
10073,Mars,Snickers - Peanut filled Chocolate Pack of 3,110,A0703,150,g
10074,Dukes,Dukes Wafers - Waffy (Strawberry Flavor),45,A0701,75,g
10075,Dukes,Dukes Wafers - Waffy (Chocolate Flavor),45,A0701,75,g
10076,Dukes,Dukes Wafers - Waffy (Pineapple Flavor),45,A0701,75,g
10077,Dukes,Dukes Wafers - Waffy (Vanilla Flavor),45,A0701,75,g
10078,Wriggley's,Orbit Sugar Free Chewing Gum - Lemon Flavoured,5,A0703,4.4,g
10079,Wriggley's,Orbit Sugar Free Chewing Gum - Mixed Fruit Flavoured,5,A0703,4.4,g
10080,Wriggley's,"Wrigleys Orbit - Spearmint, Sugarfree",5,A0703,4.4,g
10081,Wriggley's,"Wrigleys Orbit Chewing Gum - Winterfrost , Sugarfree",5,A0703,4.4,g
10082,Nestle,Nestle Munch - Nuts,20,A0703,35.2,g
10083,Nestle,Nestle Kitkat 2 fingers - Pack of 7,100,A0703,126,g
10084,Nestle,Nestle Milky Bar,10,A0703,13.2,g
10085,Nestle,Kitkat Dessert Delight - Choco Pudding,50,A0703,50,g
10086,Nestle,Kitkat Dessert Delight - Truffle,50,A0703,50,g
10087,Nestle,Kitkat Dessert Delight - Brownie Kubes,60,A0703,50,g
10088,Nestle,Nestle Classic Milk Chocolate,10,A0703,18,g
10089,Mars,Snickers Cashew,25,A0703,22,g
10090,Mars,Bounty,25,A0703,28.5,g
10091,ITC,Fabelle choco deck Fruit & Nut,70,A0703,58,g
10092,ITC,Fabelle Soft Centres - Choco Mousse,80,A0703,59,g
10093,Lotte,Lotte Coffy Bite Classic,5,A0703,23,g
10094,Cadbury,Dairy Milk Silk Hazelnut,160,A0703,143,g
10095,Cadbury,Dairy Milk Silk Chocolate,160,A0703,150,g
10096,Cadbury,Dairy Milk Chocolate,100,A0703,130,g
10097,Cadbury,Cadbury Bournville Rich Cocoa,45,A0703,31,g
10098,Cadbury,Cadbury Bournville Raisin & Nut,100,A0703,80,g
10099,Cadbury,Cadbury Bournville Cranberry,100,A0703,80,g
10100,Cadbury,Cadbury Dairy Milk Roast Almond Chocolate Bar,45,A0703,38,g
10101,Cadbury,Cadbury Celebrations,50,A0703,66.6,g
10102,Cadbury,Dairy Milk Chocolate,40,A0703,50,g
10103,Cadbury,Dairy Milk Chocolate,10,A0703,13.2,g
10104,Cadbury,Cadbury 5 Star,10,A0703,25,g
10105,Cadbury,Cadbury Fuse,35,A0703,50,g
10106,Cadbury,Cadbury Chocolate Bar - Fuse,20,A0703,30,g
10107,Cadbury,Cadbury Perk - Chocolate Bar,5,A0703,13,g
10108,Britannia,Britannia Treat - Cool Vanilla,10,A0701,60,g
10109,Britannia,Britannia Treat - Pineapple Biscuits,10,A0701,60,g
10110,Britannia,Britannia Treat - Orange Biscuits,30,A0701,120,g
10111,Britannia,Britannia Treat Stars - Creme & White Choco duo,25,A0701,100,g
10112,Cadbury,Cadbury Gems Surprise,45,A0703,17.8,g
10113,Cadbury,Cadbury Perk Double,10,A0703,28,g
10114,Hershey's,Hershey's Kisses - Milk Chocolate,50,A0703,36,g
10115,Hershey's,Hershey's Kisses - Almond,50,A0703,33.6,g
10116,Hershey's,Hershey's Kisses - Cookies & Cream,50,A0703,33.6,g
10117,Cadbury,Dairy Milk lickables,45,A0703,20,g
10118,Cadbury,Cadbury Dairy Milk Minis,149,A0703,,
10119,Chupa Chups,Chupa Chups Sour Belt,27,A0703,82.3,g
10120,Mars,M&M's - Peanut,75,A0703,45,g
