category_id,category_name
A0101,dairy
A0102,cakes-pastries
A0103,gourmet-breads
A0104,cookies-rusk-khari
A0201,bath-hand-wash
A0202,feminine-hygiene
A0203,hair-care
A0204,health-medicine
A0205,oral-care
A0206,mens-grooming
A0207,skin-care
A0208,fragrance-deodorants
A0301,coffee
A0302,energy-soft-drinks
A0303,fruit-juices-drinks
A0304,health-drink-supplement
A0305,tea
A0306,water
A0401,all-purpose-cleaners
A0402,detergents-dishwash
A0403,fresheners-repellents
A0404,party-festive-needs
A0405,pooja-needs
A0406,car-shoe-care
A0407,mops-brushes-scrubs
A0408,stationery
A0501,wheat-wheat-products
A0502,cereals-millets
A0503,dals-pulses
A0504,edible-oils-ghee
A0505,rice-rice-products
A0506,salt-sugar-jaggery
A0507,masalas-spices
A0508,dry-fruits
A0601,cereals-breakfast
A0602,dairy-cheese
A0701,biscuits-cookies
A0702,breakfast-cereals
A0703,chocolates-candies
A0704,indian-mithai
A0705,noodle-pasta-vermicelli
A0706,ready-to-cook-eat
A0707,snacks-namkeen
A0708,spreads-sauces-ketchup
A0709,pickles-chutney
A0801,cigarettes
A0901,diapers-wipes
