proudct_id,inventory
10001,9
10002,0
10003,-38
10004,45
10005,73
10006,1
10007,37
10008,14
10009,56
10010,186
10011,11
10012,5
10013,68
10014,7
10015,112
10016,0
10017,0
10018,0
10019,0
10020,0
10021,36
10022,0
10023,29
10024,26
10025,0
10026,0
10027,0
10028,0
10029,84
10030,0
10031,0
10032,0
10033,7
10034,0
10035,0
10036,31
10037,0
10038,60
10039,0
10040,240
10041,0
10042,12
10043,1
10044,0
10045,4
10046,298
10047,0
10048,108
10049,0
10050,20
10051,0
10052,87
10053,288
10054,0
10055,59
10056,52
10057,41
10058,0
10059,0
10060,119
10061,34
10062,-1
10063,0
10064,0
10065,68
10066,0
10067,0
10068,0
10069,12
10070,84
10071,72
10072,160
10073,97
10074,16
10075,20
10076,16
10077,12
10078,106
10079,138
10080,139
10081,192
10082,20
10083,24
10084,135
10085,0
10086,25
10087,12
10088,204
10089,83
10090,0
10091,9
10092,9
10093,314
10094,0
10095,30
10096,20
10097,0
10098,10
10099,0
10100,3
10101,8
10102,30
10103,0
10104,40
10105,24
10106,36
10107,239
10108,0
10109,76
10110,0
10111,0
10112,4
10113,141
10114,27
10115,5
10116,30
10117,14
10118,0
10119,0
10120,0
10121,0
10122,3
10123,42
10124,98
10125,0
10126,184
10127,0
10128,354
10129,20
10130,0
10131,12
10132,0
10133,0
10134,0
10135,0
10136,0
10137,0
10138,0
10139,12
10140,80
10141,0
10142,0
10143,0
10144,7
10145,1
10146,0
10147,25
10148,25
10149,191
10150,0
10151,0
10152,32
10153,0
10154,0
10155,0
10156,0
10157,537
10158,15
10159,0
10160,0
10161,1
10162,0
10163,0
10164,15
10165,0
10166,0
10167,0
10168,15
10169,0
10170,14
10171,50
10172,28
10173,0
10174,38
10175,26
10176,0
10177,2
10178,0
10179,5
10180,9
10181,35
10182,0
10183,1
10184,0
10185,46
10186,1
10187,1
10188,0
10189,9
10190,0
10191,13
10192,3
10193,8
10194,16
10195,0
10196,24
10197,36
10198,0
10199,38
10200,0
10201,11
10202,0
10203,0
10204,0
10205,0
10206,0
10207,12
10208,2
10209,5
10210,30
10211,30
10212,39
10213,27
10214,0
10215,0
10216,48
10217,0
10218,0
10219,21
10220,0
10221,23
10222,0
10223,0
10224,0
10225,146
10226,0
10227,20
10228,1
10229,114
10230,0
10231,27
10232,0
10233,0
10234,0
10235,0
10236,0
10237,37
10238,51
10239,26
10240,0
10241,25
10242,12
10243,315
10244,40
10245,0
10246,0
10247,8
10248,3
10249,72
10250,10
10251,15
10252,16
10253,38
10254,0
10255,6
10256,0
10257,0
10258,33
10259,0
10260,27
10261,72
10262,27
10263,0
10264,0
10265,0
10266,30
10267,0
10268,0
10269,50
10270,50
10271,0
10272,35
10273,0
10274,77
10275,0
10276,0
10277,0
10278,22
10279,0
10280,0
10281,1
10282,23
10283,0
10284,177
10285,0
10286,0
10287,66
10288,0
10289,16
10290,78
10291,0
10292,6
10293,44
10294,0
10295,253
10296,28
10297,0
10298,0
10299,32
10300,0
10301,104
10302,0
10303,0
10304,78
10305,23
10306,0
10307,24
10308,60
10309,0
10310,60
10311,0
10312,0
10313,0
10314,102
10315,60
10316,176
10317,0
10318,0
10319,0
10320,45
10321,0
10322,0
10323,0
10324,0
10325,0
10326,0
10327,18
10328,0
10329,0
10330,0
10331,75
10332,0
10333,0
10334,30
10335,0
10336,0
10337,0
10338,0
10339,0
10340,0
10341,69
10342,0
10343,0
10344,0
10345,0
10346,-38
10347,150
10348,350
10349,102
10350,71
10351,79
10352,14
10353,123
10354,36
10355,0
10356,0
10357,12
10358,0
10359,0
10360,106
10361,-1
10362,0
10363,34
10364,20
10365,24
10366,0
10367,71
10368,0
10369,0
10370,92
10371,1182
10372,60
10373,0
10374,0
10375,0
10376,79
10377,0
10378,1
10379,140
10380,0
10381,0
10382,0
10383,14
10384,0
10385,0
10386,0
10387,0
10388,42
10389,0
10390,0
10391,13
10392,102
10393,154
10394,3
10395,0
10396,0
10397,0
10398,0
10399,0
10400,0
10401,0
10402,0
10403,19
10404,38
10405,0
10406,0
10407,-1
10408,0
10409,0
10410,0
10411,0
10412,25
10413,39
10414,78
10415,0
10416,0
10417,86
10418,0
10419,0
10420,0
10421,5
10422,0
10423,15
10424,0
10425,0
10426,0
10427,0
10428,0
10429,0
10430,2
10431,2
10432,0
10433,0
10434,0
10435,0
10436,11
10437,0
10438,0
10439,0
10440,0
10441,0
10442,0
10443,0
10444,0
10445,0
10446,0
10447,0
10448,0
10449,0
10450,0
10451,0
10452,0
10453,0
10454,0
10455,0
10456,0
10457,0
10458,0
10459,0
10460,0
10461,0
10462,0
10463,0
10464,143
10465,35
10466,0
10467,0
10468,0
10469,0
10470,16
10471,30
10472,20
10473,32
10474,50
10475,26
10476,0
10477,9
10478,72
10479,7
10480,0
10481,0
10482,0
10483,1
10484,0
10485,0
10486,0
10487,0
10488,0
10489,0
10490,73
10491,0
10492,12
10493,18
10494,0
10495,4
10496,45
10497,9
10498,0
10499,0
10500,3
10501,112
10502,0
10503,0
10504,0
10505,0
10506,-4
10507,32
10508,0
10509,0
10510,0
10511,25
10512,0
10513,0
10514,8
10515,50
10516,1
10517,0
10518,24
10519,0
10520,0
10521,0
10522,0
10523,144
10524,49
10525,172
10526,78
10527,0
10528,1
10529,0
10530,0
10531,0
10532,69
10533,0
10534,0
10535,0
10536,68
10537,1
10538,1
10539,0
10540,26
10541,-3
10542,0
10543,0
10544,24
10545,24
10546,17
10547,0
10548,0
10549,5
10550,0
10551,0
10552,0
10553,0
10554,0
10555,0
10556,0
10557,0
10558,0
10559,0
10560,0
10561,4
10562,0
10563,1
10564,0
10565,6
10566,0
10567,60
10568,0
10569,8
10570,44
10571,0
10572,50
10573,78
10574,0
10575,0
10576,30
10577,60
10578,0
10579,29
10580,11
10581,31
10582,45
10583,3
10584,0
10585,0
10586,0
10587,0
10588,0
10589,0
10590,0
10591,0
10592,10
10593,0
10594,0
10595,0
10596,0
10597,0
10598,0
10599,0
10600,0
10601,0
10602,10
10603,0
10604,0
10605,0
10606,4
10607,8
10608,1
10609,0
10610,0
10611,0
10612,10
10613,41
10614,0
10615,1
10616,49
